split,idx,image_name,psnr,l1
train,167,000192,26.660497665405273,0.028888558968901634
train,168,000194,26.38441276550293,0.02847590297460556
train,169,000195,25.84894371032715,0.02974925935268402
train,170,000196,25.749662399291992,0.029120681807398796
train,171,000197,25.562976837158203,0.03039117157459259
train,172,000198,25.091899871826172,0.0349317267537117
train,173,000199,24.02169418334961,0.04087391868233681
train,174,000200,24.869457244873047,0.03799125552177429
train,175,000202,24.10146141052246,0.03890827298164368
train,176,000203,23.555805206298828,0.046614471822977066
train,177,000204,23.312397003173828,0.04733935371041298
train,178,000205,23.297130584716797,0.04608186334371567
train,179,000206,23.812801361083984,0.045644182711839676
train,180,000207,23.873214721679688,0.043528784066438675
train,181,000208,24.614089965820312,0.036970850080251694
train,182,000210,25.46657371520996,0.033180661499500275
train,183,000211,25.117599487304688,0.03330826014280319
train,184,000212,24.82984733581543,0.03272422030568123
train,185,000213,22.962844848632812,0.037161197513341904
train,186,000214,22.597904205322266,0.0386776365339756
train,187,000215,22.633056640625,0.0415210947394371
train,188,000216,22.059112548828125,0.048835910856723785
train,189,000218,21.540740966796875,0.04907400533556938
train,190,000219,20.832393646240234,0.05060642957687378
train,191,000220,21.048389434814453,0.052838701754808426
train,192,000221,21.48958969116211,0.046652864664793015
train,193,000222,22.471511840820312,0.042352981865406036
train,194,000223,23.82216453552246,0.03442985564470291
train,195,000224,23.987529754638672,0.03265278786420822
train,196,000226,23.887624740600586,0.035467758774757385
train,197,000227,24.291624069213867,0.03691287711262703
train,198,000228,25.084270477294922,0.03307335078716278
train,199,000229,24.20094108581543,0.03644847869873047
train,200,000230,23.825420379638672,0.035879649221897125
train,201,000231,23.07149314880371,0.04038053750991821
train,202,000232,21.786434173583984,0.05157903954386711
train,203,000234,23.266918182373047,0.04668210819363594
train,204,000235,24.966039657592773,0.037833135575056076
train,205,000236,25.23212242126465,0.03651656210422516
train,206,000237,24.52559471130371,0.03872179239988327
train,207,000238,25.34857940673828,0.03281440585851669
train,208,000239,25.592884063720703,0.032320182770490646
train,209,000240,24.918865203857422,0.033308498561382294
train,210,000242,24.63026237487793,0.03448876738548279
train,211,000243,25.00374984741211,0.032780129462480545
train,212,000244,24.57781982421875,0.03519940748810768
train,213,000245,24.7368221282959,0.036318134516477585
train,214,000246,24.751102447509766,0.035155586898326874
train,215,000247,24.618064880371094,0.036138586699962616
train,216,000248,23.99403953552246,0.03916367143392563
train,217,000250,23.39944839477539,0.042202502489089966
train,218,000251,22.84634780883789,0.045150239020586014
